ubicacion,dedicacion,contrato,salario,rol,anos_de_experiencia,antiguedad_en_la_empresa_actual,anos_en_el_puesto_actual,cuantas_personas_tenes_a_cargo,tecnologias,cantidad_de_personas_en_tu_organizacion,modalidad_de_trabajo,edad,genero,seniority,marvin_rol
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,1300000.0,Developer,2,0,0,0,"Javascript, TypeScript",De 51 a 100 personas,100% remoto,23,Hombre Cis,Junior,2
Buenos Aires,Full-Time,Contractor,3240000.0,Developer,5,0,0,0,"CSS, Javascript, PHP, TypeScript",De 51 a 100 personas,100% remoto,27,Mujer Cis,Semi-Senior,2
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1100000.0,Business Analyst,7,3,3,2,"Python, VBA",Más de 10000 personas,Híbrido (presencial y remoto),34,Hombre Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3200000.0,Infosec,8,8,8,0,Ninguno de los anteriores,Más de 10000 personas,Híbrido (presencial y remoto),38,Hombre Cis,Senior,9
Córdoba,Full-Time,Contractor,3000000.0,Infosec,2,0,2,0,"Java, Javascript",De 11  a 50  personas,100% remoto,27,Hombre Cis,Junior,3
Córdoba,Full-Time,Staff (planta permanente),2100000.0,SysAdmin / DevOps / SRE,16,3,3,3,Python,De 11  a 50  personas,100% presencial,32,Hombre Cis,Senior,5
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1990000.0,Developer,4,0,0,0,"HTML, Javascript, PHP, TypeScript",De 1001 a 2000 personas,100% remoto,37,Hombre Cis,Semi-Senior,2
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3500000.0,Developer,3,0,2,0,"CSS, HTML, Javascript, TypeScript",Más de 10000 personas,Híbrido (presencial y remoto),30,Mujer Cis,Semi-Senior,2
Mendoza,Full-Time,Staff (planta permanente),2500000.0,Developer,3,2,2,0,"Bash/Shell, CSS, Go, HTML, Javascript, SQL, TypeScript, Mulesoft",De 1001 a 2000 personas,100% remoto,29,Hombre Cis,Semi-Senior,2
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2482000.0,Consultant,4,4,3,0,"Bash/Shell, CSS, HTML, Javascript, Python",De 5001 a 10000 personas,Híbrido (presencial y remoto),27,Hombre Cis,Semi-Senior,2
Córdoba,Full-Time,Contractor,1077000.0,Developer,1,1,1,1,"CSS, HTML, Javascript, TypeScript",De 2 a 10 personas,100% remoto,26,Hombre Cis,Junior,2
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1894854.0,Infosec,2,1,1,0,KQL,Más de 10000 personas,100% presencial,22,Hombre Cis,Junior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4000000.0,Manager / Director,15,2,2,4,Ninguno de los anteriores,De 501 a 1000 personas,100% presencial,43,Hombre Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,4400000.0,QA / Tester,7,0,0,0,"CSS, HTML, Javascript, Rust, SQL, TypeScript",De 101 a 200 personas,100% remoto,40,Hombre Cis,Senior,2
Córdoba,Full-Time,Contractor,1800000.0,QA / Tester,5,2,2,3,"Javascript, TypeScript",De 11  a 50  personas,100% remoto,37,Hombre Cis,Semi-Senior,2
Santa Fe,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1100000.0,Data Engineer,1,0,0,0,"Python, SQL",De 101 a 200 personas,100% remoto,24,Hombre Cis,Junior,5
Santa Fe,Full-Time,Contractor,4000000.0,Developer,8,2,2,0,Go,De 501 a 1000 personas,100% remoto,30,Hombre Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1907000.0,Technical Leader,2,2,2,0,Ninguno de los anteriores,De 5001 a 10000 personas,Híbrido (presencial y remoto),32,Hombre Cis,Junior,9
Córdoba,Full-Time,Contractor,2747500.0,Manager / Director,3,2,2,30,Ninguno de los anteriores,De 201 a 500 personas,100% remoto,36,Hombre Cis,Semi-Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,1300000.0,DBA (Database Administrator),4,4,4,0,SQL,De 11  a 50  personas,100% remoto,33,Hombre Cis,Semi-Senior,6
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3000000.0,Technical Leader,3,3,1,0,"Arduino, Assembler, Bash/Shell, C, C++, C#, Go, Groovy, Java, Matlab, Python",De 51 a 100 personas,100% remoto,42,Hombre Cis,Semi-Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2600000.0,Manager / Director,18,2,2,5,Ninguno de los anteriores,Más de 10000 personas,Híbrido (presencial y remoto),47,Mujer Cis,Senior,9
Buenos Aires,Full-Time,Staff (planta permanente),1921104.0,Developer,4,4,4,0,"CSS, HTML, Javascript, TypeScript",De 201 a 500 personas,Híbrido (presencial y remoto),29,Hombre Cis,Semi-Senior,2
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1400000.0,Infosec,0,0,0,0,Ninguno de los anteriores,De 5001 a 10000 personas,Híbrido (presencial y remoto),26,Mujer Cis,Junior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),2300000.0,QA / Tester,4,2,2,0,"Java, Javascript, SQL, TypeScript",De 101 a 200 personas,100% remoto,27,Mujer Cis,Semi-Senior,4
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,1907500.0,Manager / Director,4,3,2,2,Ninguno de los anteriores,De 51 a 100 personas,100% remoto,30,Mujer Cis,Semi-Senior,9
Catamarca,Full-Time,Staff (planta permanente),1100000.0,Developer,5,3,3,0,"CSS, HTML, Java, Javascript, Kotlin, PHP",De 2001a 5000 personas,100% presencial,29,Hombre Cis,Semi-Senior,4
Entre Ríos,Full-Time,Staff (planta permanente),3000000.0,SysAdmin / DevOps / SRE,25,3,3,3,PowerShell,Más de 10000 personas,100% remoto,52,Hombre Cis,Senior,9
Entre Ríos,Full-Time,Staff (planta permanente),1291922.0,SysAdmin / DevOps / SRE,5,5,3,0,Ninguno de los anteriores,De 5001 a 10000 personas,100% remoto,33,Hombre Cis,Semi-Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,2900000.0,Infosec,4,0,3,0,"Python, Ninguno de los anteriores",De 51 a 100 personas,100% remoto,24,Hombre Cis,Semi-Senior,5
Tucumán,Full-Time,Staff (planta permanente),1475200.0,VP / C-Level,4,4,1,12,"Bash/Shell, CSS, HTML, Javascript, PHP, Python, SQL, TypeScript",De 11  a 50  personas,100% remoto,27,Hombre Cis,Semi-Senior,4
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4050907.0,Recruiter,0,0,0,0,Ninguno de los anteriores,De 1001 a 2000 personas,100% remoto,33,Hombre Cis,Junior,9
Mendoza,Full-Time,Staff (planta permanente),2040000.0,SysAdmin / DevOps / SRE,15,4,2,0,"Bash/Shell, Python",De 11  a 50  personas,Híbrido (presencial y remoto),40,Hombre Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3735000.0,SysAdmin / DevOps / SRE,3,0,0,0,Python,De 201 a 500 personas,Híbrido (presencial y remoto),27,Hombre Cis,Semi-Senior,5
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3680000.0,Developer,5,3,2,0,"Go, Java, Javascript, Python",De 1001 a 2000 personas,100% remoto,26,Hombre Cis,Semi-Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,2200000.0,Developer,3,2,2,0,"CSS, HTML, Javascript, TypeScript",De 11  a 50  personas,100% remoto,33,Hombre Cis,Semi-Senior,2
Buenos Aires,Full-Time,Staff (planta permanente),1010000.0,SysAdmin / DevOps / SRE,2,2,2,0,Bash/Shell,Más de 10000 personas,100% remoto,25,Mujer Cis,Junior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1400000.0,Technical Leader,8,5,2,3,"CSS, Go, HTML, Javascript, Python, SQL, TypeScript",De 51 a 100 personas,100% remoto,30,Hombre Cis,Senior,4
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1406346.0,Developer,2,2,2,0,".NET, C#, CSS, HTML, Javascript",De 201 a 500 personas,100% remoto,28,Hombre Cis,Junior,2
Buenos Aires,Full-Time,Contractor,6250000.0,Developer,6,0,6,0,"CSS, HTML, Javascript, Python",De 201 a 500 personas,100% remoto,34,Hombre Cis,Senior,4
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,3500000.0,Developer,5,2,2,0,"CSS, Go, HTML, Javascript, PHP, SQL, TypeScript",De 51 a 100 personas,100% remoto,28,Hombre Cis,Semi-Senior,4
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3365000.0,Developer,6,2,1,0,"Go, Java, SQL",Más de 10000 personas,Híbrido (presencial y remoto),24,Hombre Cis,Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1353000.0,Developer,3,1,1,0,".NET, C#, SQL, TypeScript",De 51 a 100 personas,100% remoto,27,Hombre Cis,Semi-Senior,3
Santa Fe,Full-Time,Staff (planta permanente),1725000.0,Developer,2,1,2,0,"CSS, HTML, Python, SQL",De 5001 a 10000 personas,100% remoto,30,Hombre Cis,Junior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1600000.0,Data Scientist,2,1,0,0,"Python, R, SQL",De 1001 a 2000 personas,100% remoto,24,Hombre Cis,Junior,5
Tierra del Fuego,Full-Time,Staff (planta permanente),2500000.0,SysAdmin / DevOps / SRE,4,1,3,0,"Go, Groovy, Java, Javascript, Python, SQL",De 2001a 5000 personas,100% remoto,38,Hombre Cis,Semi-Senior,4
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2200000.0,BI Analyst / Data Analyst,2,0,0,2,"Python, R, VBA",Más de 10000 personas,100% remoto,32,Hombre Cis,Junior,5
Neuquén,Full-Time,Staff (planta permanente),5900000.0,Engineer,4,0,3,3,".NET, Assembler, C, C++, C#, Python, Rust, SQL, VBA",De 201 a 500 personas,100% presencial,23,Hombre Cis,Semi-Senior,3
Salta,Full-Time,Contractor,2625000.0,Developer,4,0,0,0,"CSS, HTML, Javascript, PHP, SQL, TypeScript",De 101 a 200 personas,100% remoto,27,Hombre Cis,Semi-Senior,4
Santa Fe,Full-Time,Participación societaria en una cooperativa,2000000.0,Developer,10,3,3,0,"Go, HTML, Java, Javascript, SQL, TypeScript",De 2 a 10 personas,Híbrido (presencial y remoto),43,Hombre Cis,Senior,4
Buenos Aires,Full-Time,Contractor,986000.0,HelpDesk,2,0,0,0,Ninguno de los anteriores,De 5001 a 10000 personas,100% remoto,24,Mujer Cis,Junior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),5300000.0,Developer,3,2,2,0,"Java, Javascript",De 101 a 200 personas,100% remoto,27,Mujer Cis,Semi-Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2500000.0,QA / Tester,8,1,1,0,Python,De 501 a 1000 personas,Híbrido (presencial y remoto),34,Hombre Cis,Senior,5
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1100000.0,Developer,2,3,2,0,".NET, C#, CSS, HTML, Javascript, SQL, TypeScript",De 5001 a 10000 personas,100% remoto,25,Hombre Cis,Junior,4
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1600000.0,Infosec,4,4,4,0,"C, Python",De 51 a 100 personas,Híbrido (presencial y remoto),25,Mujer Cis,Semi-Senior,9
Chaco,Full-Time,Staff (planta permanente),1800000.0,Business Analyst,3,3,1,5,Ninguno de los anteriores,De 51 a 100 personas,100% remoto,40,Mujer Cis,Semi-Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3800000.0,Technical Leader,14,2,2,3,"Javascript, TypeScript",De 51 a 100 personas,100% remoto,40,Hombre Cis,Senior,2
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2810000.0,Manager / Director,30,2,2,0,SQL,De 101 a 200 personas,Híbrido (presencial y remoto),51,Hombre Cis,Senior,6
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1500000.0,SysAdmin / DevOps / SRE,6,1,1,10,"Javascript, Python, SQL",De 101 a 200 personas,Híbrido (presencial y remoto),29,Hombre Cis,Senior,2
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,4300000.0,Developer,14,1,10,0,"CSS, HTML, Javascript, PHP, SQL, TypeScript",De 101 a 200 personas,100% remoto,33,Hombre Cis,Senior,2
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4067483.55,SysAdmin / DevOps / SRE,5,1,5,0,Ninguno de los anteriores,De 201 a 500 personas,Híbrido (presencial y remoto),37,Hombre Cis,Semi-Senior,9
Buenos Aires,Full-Time,Contractor,4500000.0,VP / C-Level,10,6,2,6,Ninguno de los anteriores,De 51 a 100 personas,100% remoto,35,Mujer Cis,Senior,9
Mendoza,Full-Time,Contractor,1600000.0,Data Scientist,3,1,3,0,Python,De 11  a 50  personas,100% remoto,30,Hombre Cis,Semi-Senior,5
Río Negro,Full-Time,Contractor,3675000.0,Data Engineer,7,0,6,0,"Python, SQL",De 51 a 100 personas,100% remoto,33,Hombre Cis,Senior,5
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4500000.0,Developer,10,3,4,0,Java,De 101 a 200 personas,Híbrido (presencial y remoto),35,Hombre Cis,Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),4500000.0,SysAdmin / DevOps / SRE,14,1,8,0,"Bash/Shell, Python",Más de 10000 personas,Híbrido (presencial y remoto),34,Hombre Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,1700000.0,UX Designer,3,1,3,0,Ninguno de los anteriores,De 11  a 50  personas,Híbrido (presencial y remoto),32,Mujer Cis,Semi-Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,2600000.0,Developer,6,2,2,0,"CSS, HTML, Javascript, Solidity, TypeScript",De 2 a 10 personas,100% remoto,30,Hombre Cis,Senior,2
La Rioja,Full-Time,Staff (planta permanente),1048605.0,RPA,2,1,0,0,Ninguno de los anteriores,De 1001 a 2000 personas,100% remoto,35,Hombre Cis,Junior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1600000.0,Developer,5,0,0,0,".NET, Javascript, PHP",De 101 a 200 personas,100% remoto,28,Hombre Cis,Semi-Senior,3
Entre Ríos,Full-Time,Contractor,3800000.0,Developer,7,3,3,0,".NET, C#, CSS, HTML, Javascript, SQL, TypeScript",De 101 a 200 personas,100% remoto,33,Hombre Cis,Senior,4
La Pampa,Full-Time,Staff (planta permanente),3000000.0,Architect,16,1,3,10,"Bash/Shell, Go, Java, Python, Ruby",De 501 a 1000 personas,100% remoto,46,Hombre Cis,Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,2800000.0,Developer,5,0,0,0,"HTML, Javascript, TypeScript",De 501 a 1000 personas,100% remoto,35,Hombre Cis,Semi-Senior,2
Buenos Aires,Full-Time,Staff (planta permanente),2200000.0,Developer,3,3,1,0,"Java, Javascript, PHP",De 1001 a 2000 personas,100% remoto,26,Hombre Cis,Semi-Senior,3
Buenos Aires,Full-Time,Contractor,1050000.0,Developer,3,3,3,0,"CSS, TypeScript",De 2 a 10 personas,100% remoto,22,Hombre Cis,Semi-Senior,2
Córdoba,Full-Time,Staff (planta permanente),2730000.0,Developer,4,3,3,2,"CSS, HTML, Javascript, Rust, TypeScript",De 11  a 50  personas,Híbrido (presencial y remoto),25,Hombre Cis,Semi-Senior,2
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,5000000.0,Developer,20,3,3,0,"C#, Javascript, TypeScript",De 51 a 100 personas,100% remoto,46,Hombre Cis,Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),5000000.0,Developer,3,0,0,0,Ruby,De 1001 a 2000 personas,100% remoto,25,Hombre Cis,Semi-Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2800000.0,Developer,3,2,3,0,"Bash/Shell, CSS, HTML, Javascript, TypeScript",De 51 a 100 personas,100% remoto,28,Hombre Cis,Semi-Senior,2
Córdoba,Full-Time,Contractor,5460000.0,SysAdmin / DevOps / SRE,5,4,4,0,"Bash/Shell, Go, Python",De 1001 a 2000 personas,100% remoto,32,Hombre Cis,Semi-Senior,9
Buenos Aires,Full-Time,Staff (planta permanente),6200000.0,Manager / Director,20,1,1,5,"Go, Java",De 501 a 1000 personas,100% remoto,43,Hombre Cis,Senior,3
Buenos Aires,Full-Time,Contractor,2650000.0,Recruiter,20,2,2,0,Ninguno de los anteriores,De 11  a 50  personas,Híbrido (presencial y remoto),42,Hombre Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3984868.0,Data Engineer,9,2,2,0,"Python, SQL",De 2001a 5000 personas,Híbrido (presencial y remoto),41,Hombre Cis,Senior,5
Tucumán,Full-Time,Staff (planta permanente),4641300.0,Data Engineer,4,0,0,0,"Python, SQL",De 5001 a 10000 personas,100% remoto,28,Hombre Cis,Semi-Senior,5
