contrato,dedicacion,remainder__salario,remainder__anos_de_experiencia,remainder__antiguedad_en_la_empresa_actual,remainder__anos_en_el_puesto_actual,remainder__cuantas_personas_tenes_a_cargo,remainder__edad,remainder__marvin_rol,remainder__cantidad_personas_encoded,remainder__modalidad_encoded,remainder__seniority_encoded
1.0,1.0,3365000.0,6.0,2.0,1.0,0.0,24.0,3.0,10.0,1.0,2.0
1.0,1.0,1353000.0,3.0,1.0,1.0,0.0,27.0,3.0,3.0,2.0,1.0
1.0,1.0,1600000.0,2.0,1.0,0.0,0.0,24.0,5.0,7.0,2.0,0.0
1.0,1.0,2500000.0,4.0,1.0,3.0,0.0,38.0,4.0,8.0,2.0,1.0
1.0,1.0,2200000.0,2.0,0.0,0.0,2.0,32.0,5.0,10.0,2.0,0.0
1.0,1.0,5900000.0,4.0,0.0,3.0,3.0,23.0,3.0,5.0,0.0,1.0
0.0,1.0,2625000.0,4.0,0.0,0.0,0.0,27.0,4.0,4.0,2.0,1.0
0.0,1.0,2000000.0,10.0,3.0,3.0,0.0,43.0,4.0,1.0,1.0,2.0
1.0,1.0,5300000.0,3.0,2.0,2.0,0.0,27.0,3.0,4.0,2.0,1.0
1.0,1.0,2500000.0,8.0,1.0,1.0,0.0,34.0,5.0,6.0,1.0,2.0
0.0,1.0,1100000.0,2.0,3.0,2.0,0.0,25.0,4.0,9.0,2.0,0.0
1.0,1.0,3800000.0,14.0,2.0,2.0,3.0,40.0,2.0,3.0,2.0,3.0
1.0,1.0,2810000.0,30.0,2.0,2.0,0.0,51.0,6.0,4.0,1.0,3.0
1.0,1.0,1500000.0,6.0,1.0,1.0,10.0,29.0,2.0,4.0,1.0,2.0
0.0,1.0,4300000.0,14.0,1.0,10.0,0.0,33.0,2.0,4.0,2.0,2.0
0.0,1.0,1600000.0,3.0,1.0,3.0,0.0,30.0,5.0,2.0,2.0,1.0
0.0,1.0,3675000.0,7.0,0.0,6.0,0.0,33.0,5.0,3.0,2.0,2.0
1.0,1.0,4500000.0,10.0,3.0,4.0,0.0,35.0,3.0,4.0,1.0,2.0
0.0,1.0,2600000.0,6.0,2.0,2.0,0.0,30.0,2.0,1.0,2.0,2.0
1.0,1.0,1600000.0,5.0,0.0,0.0,0.0,28.0,3.0,4.0,2.0,1.0
0.0,1.0,3800000.0,7.0,3.0,3.0,0.0,33.0,4.0,4.0,2.0,2.0
1.0,1.0,3000000.0,16.0,1.0,3.0,10.0,46.0,3.0,6.0,2.0,2.0
0.0,1.0,2800000.0,5.0,0.0,0.0,0.0,35.0,2.0,6.0,2.0,1.0
1.0,1.0,2200000.0,3.0,3.0,1.0,0.0,26.0,3.0,7.0,2.0,1.0
0.0,1.0,1050000.0,3.0,3.0,3.0,0.0,22.0,2.0,1.0,2.0,1.0
1.0,1.0,2730000.0,4.0,3.0,3.0,2.0,25.0,2.0,2.0,1.0,1.0
