dedicacion,contrato,salario,anos_de_experiencia,antiguedad_en_la_empresa_actual,anos_en_el_puesto_actual,cuantas_personas_tenes_a_cargo,cantidad_de_personas_en_tu_organizacion,modalidad_de_trabajo,edad,seniority,marvin_rol
Full-Time,Staff (planta permanente),1800000.0,9,4,4,0,De 201 a 500 personas,100% remoto,31,Senior,3
Full-Time,Contractor,6000000.0,18,0,5,0,De 2 a 10 personas,100% remoto,40,Senior,5
Full-Time,Staff (planta permanente),2000000.0,4,0,0,0,Más de 10000 personas,Híbrido (presencial y remoto),30,Semi-Senior,5
Full-Time,Staff (planta permanente),3313961.71,5,0,5,0,Más de 10000 personas,100% remoto,25,Semi-Senior,3
Full-Time,Contractor,4800000.0,15,1,2,5,De 51 a 100 personas,100% remoto,41,Manager or Above,2
Full-Time,Staff (planta permanente),800000.0,0,0,0,1,De 2001a 5000 personas,100% presencial,27,Junior,4
Full-Time,Staff (planta permanente),1200000.0,15,1,10,0,De 51 a 100 personas,Híbrido (presencial y remoto),48,Senior,5
Full-Time,Staff (planta permanente),5000000.0,25,4,3,8,De 1001 a 2000 personas,100% remoto,40,Senior,4
Full-Time,Contractor,5300000.0,10,0,0,4,De 201 a 500 personas,Híbrido (presencial y remoto),31,Senior,3
Full-Time,Staff (planta permanente),2700000.0,4,4,4,60,Más de 10000 personas,100% remoto,39,Manager or Above,5
Full-Time,Staff (planta permanente),2600000.0,5,3,3,0,De 11  a 50  personas,100% remoto,44,Semi-Senior,3
Full-Time,Contractor,4100000.0,15,5,5,0,De 2 a 10 personas,100% remoto,39,Senior,4
Full-Time,Contractor,5000000.0,13,3,0,5,De 201 a 500 personas,100% remoto,35,Manager or Above,4
Full-Time,Contractor,4675000.0,10,8,8,2,De 11  a 50  personas,100% remoto,35,Senior,2
Full-Time,Contractor,3600000.0,7,2,2,0,De 201 a 500 personas,100% remoto,37,Senior,2
Full-Time,Staff (planta permanente),4600000.0,23,3,3,3,De 51 a 100 personas,100% presencial,47,Manager or Above,6
Full-Time,Contractor,4600000.0,5,2,2,8,De 11  a 50  personas,100% remoto,39,Manager or Above,2
Full-Time,Staff (planta permanente),2900000.0,8,7,3,0,De 51 a 100 personas,Híbrido (presencial y remoto),34,Senior,2
Full-Time,Tercerizado (trabajo a través de consultora o agencia),2600000.0,3,1,1,0,De 101 a 200 personas,100% remoto,34,Semi-Senior,5
Full-Time,Staff (planta permanente),1500000.0,2,2,2,0,De 51 a 100 personas,100% remoto,23,Junior,5
Full-Time,Staff (planta permanente),1600000.0,5,3,3,2,De 201 a 500 personas,100% remoto,35,Semi-Senior,6
Full-Time,Contractor,1200000.0,3,3,3,0,De 11  a 50  personas,100% remoto,32,Semi-Senior,2
Full-Time,Tercerizado (trabajo a través de consultora o agencia),2000000.0,5,0,0,0,Más de 10000 personas,Híbrido (presencial y remoto),43,Semi-Senior,3
Full-Time,Staff (planta permanente),2820000.0,4,3,1,0,Más de 10000 personas,100% remoto,25,Semi-Senior,4
Full-Time,Contractor,2400000.0,6,3,1,0,De 11  a 50  personas,100% remoto,33,Senior,4
Full-Time,Contractor,3000000.0,9,1,1,0,De 11  a 50  personas,100% remoto,34,Senior,3
Full-Time,Staff (planta permanente),4600000.0,10,0,1,5,De 101 a 200 personas,Híbrido (presencial y remoto),43,Manager or Above,2
Part-Time,Contractor,4500000.0,9,4,4,0,De 101 a 200 personas,100% remoto,37,Senior,4
Full-Time,Contractor,6000000.0,5,1,1,0,De 2 a 10 personas,100% remoto,45,Semi-Senior,5
Full-Time,Staff (planta permanente),3000000.0,4,4,4,4,De 11  a 50  personas,100% remoto,30,Manager or Above,4
Full-Time,Freelance,2000000.0,5,1,5,0,De 2 a 10 personas,100% remoto,30,Semi-Senior,4
Full-Time,Contractor,5000000.0,17,3,2,4,De 201 a 500 personas,100% remoto,40,Manager or Above,3
Part-Time,Freelance,2000000.0,1,1,1,0,De 2 a 10 personas,100% remoto,50,Junior,4
Full-Time,Staff (planta permanente),2600000.0,4,4,4,0,De 101 a 200 personas,Híbrido (presencial y remoto),33,Semi-Senior,4
Full-Time,Staff (planta permanente),2620101.0,7,7,7,4,Más de 10000 personas,Híbrido (presencial y remoto),33,Senior,2
Full-Time,Contractor,5530000.0,28,1,1,0,De 201 a 500 personas,100% remoto,45,Senior,4
Full-Time,Staff (planta permanente),2800000.0,7,3,3,0,Más de 10000 personas,100% remoto,31,Senior,3
Full-Time,Contractor,4320000.0,5,0,0,0,De 1001 a 2000 personas,100% remoto,36,Semi-Senior,2
Full-Time,Staff (planta permanente),3700000.0,0,0,0,0,De 51 a 100 personas,Híbrido (presencial y remoto),23,Junior,3
Full-Time,Contractor,4400000.0,11,1,4,3,De 11  a 50  personas,100% remoto,31,Manager or Above,4
Full-Time,Freelance,3500000.0,11,1,1,0,De 11  a 50  personas,100% remoto,28,Senior,2
Full-Time,Contractor,1800000.0,1,0,0,0,De 51 a 100 personas,100% remoto,33,Junior,2
Full-Time,Staff (planta permanente),1308000.0,11,2,2,0,De 11  a 50  personas,100% remoto,36,Senior,3
Full-Time,Staff (planta permanente),4040053.0,5,3,1,0,De 1001 a 2000 personas,100% remoto,32,Semi-Senior,3
Full-Time,Freelance,6000000.0,6,2,3,5,De 501 a 1000 personas,100% remoto,34,Senior,4
Part-Time,Staff (planta permanente),800000.0,1,1,0,0,De 11  a 50  personas,Híbrido (presencial y remoto),22,Junior,3
Full-Time,Contractor,4370000.0,3,2,2,0,De 2 a 10 personas,100% remoto,28,Semi-Senior,3
Full-Time,Contractor,4800000.0,10,2,2,0,De 11  a 50  personas,100% remoto,48,Senior,2
Full-Time,Contractor,3360000.0,4,2,2,0,De 51 a 100 personas,100% remoto,33,Semi-Senior,2
Full-Time,Staff (planta permanente),2200000.0,3,3,3,0,De 51 a 100 personas,100% remoto,27,Semi-Senior,2
Full-Time,Contractor,1300000.0,5,3,1,0,De 2 a 10 personas,100% remoto,35,Semi-Senior,6
Full-Time,Contractor,3600000.0,5,2,2,0,De 2 a 10 personas,100% remoto,22,Semi-Senior,2
Full-Time,Contractor,3510000.0,4,3,3,0,De 51 a 100 personas,100% remoto,32,Semi-Senior,2
Full-Time,Staff (planta permanente),1736000.0,6,3,3,0,Más de 10000 personas,100% remoto,42,Senior,2
Full-Time,Staff (planta permanente),3500000.0,6,1,1,12,De 11  a 50  personas,100% remoto,36,Manager or Above,3
Full-Time,Staff (planta permanente),6110636.0,12,3,3,0,De 11  a 50  personas,100% remoto,36,Senior,3
Full-Time,Contractor,5640000.0,20,3,3,0,De 11  a 50  personas,100% remoto,42,Senior,2
Full-Time,Staff (planta permanente),3980707.0,8,0,0,0,De 201 a 500 personas,Híbrido (presencial y remoto),35,Senior,2
Full-Time,Contractor,1600000.0,8,1,6,7,De 501 a 1000 personas,100% remoto,35,Senior,2
Full-Time,Contractor,3800000.0,5,5,5,0,De 51 a 100 personas,Híbrido (presencial y remoto),28,Semi-Senior,2
Full-Time,Contractor,3660000.0,15,3,3,3,De 101 a 200 personas,100% remoto,38,Senior,6
Full-Time,Freelance,2250000.0,3,1,1,2,De 2 a 10 personas,100% remoto,32,Semi-Senior,3
Full-Time,Contractor,2089550.0,15,0,5,0,De 11  a 50  personas,100% remoto,42,Senior,2
Full-Time,Contractor,4400000.0,9,1,1,0,De 101 a 200 personas,100% remoto,40,Senior,3
Full-Time,Staff (planta permanente),1913000.0,6,3,3,0,De 201 a 500 personas,100% remoto,36,Senior,2
Full-Time,Staff (planta permanente),3500000.0,8,0,3,0,De 501 a 1000 personas,100% remoto,38,Senior,3
Full-Time,Contractor,1000000.0,20,3,7,0,De 51 a 100 personas,100% remoto,45,Senior,2
Full-Time,Staff (planta permanente),1050000.0,3,3,3,0,Más de 10000 personas,100% remoto,32,Semi-Senior,5
Full-Time,Staff (planta permanente),1354770.0,3,1,1,0,De 11  a 50  personas,Híbrido (presencial y remoto),20,Semi-Senior,2
Full-Time,Tercerizado (trabajo a través de consultora o agencia),2300000.0,6,6,4,0,De 5001 a 10000 personas,100% remoto,30,Senior,3
Full-Time,Contractor,4200000.0,15,6,6,0,De 2 a 10 personas,100% remoto,38,Senior,4
Full-Time,Contractor,3600000.0,10,4,4,0,De 11  a 50  personas,100% remoto,36,Senior,3
Full-Time,Staff (planta permanente),1650000.0,5,7,5,2,De 51 a 100 personas,Híbrido (presencial y remoto),52,Semi-Senior,3
Full-Time,Staff (planta permanente),1361546.0,3,3,3,0,De 11  a 50  personas,100% remoto,25,Semi-Senior,2
Full-Time,Staff (planta permanente),2389528.0,9,8,8,0,De 51 a 100 personas,Híbrido (presencial y remoto),33,Senior,3
Full-Time,Staff (planta permanente),1100000.0,2,2,2,0,Más de 10000 personas,100% remoto,30,Junior,3
Full-Time,Staff (planta permanente),4247000.0,10,3,3,0,De 101 a 200 personas,Híbrido (presencial y remoto),42,Senior,3
Full-Time,Staff (planta permanente),1720000.0,4,3,3,0,Más de 10000 personas,100% remoto,29,Semi-Senior,5
Full-Time,Staff (planta permanente),1700000.0,5,2,2,0,De 101 a 200 personas,100% remoto,42,Semi-Senior,3
Full-Time,Contractor,1500000.0,4,3,3,0,De 51 a 100 personas,100% remoto,29,Semi-Senior,2
Full-Time,Staff (planta permanente),2164240.0,3,3,3,0,De 101 a 200 personas,100% remoto,30,Semi-Senior,5
Full-Time,Contractor,2000000.0,2,2,1,0,De 11  a 50  personas,100% remoto,32,Junior,4
Full-Time,Staff (planta permanente),2800000.0,12,5,5,0,De 201 a 500 personas,Híbrido (presencial y remoto),41,Senior,3
Full-Time,Contractor,4711600.0,7,3,4,0,De 51 a 100 personas,100% remoto,33,Senior,5
Full-Time,Tercerizado (trabajo a través de consultora o agencia),2400000.0,3,0,0,1,1 (solamente yo),100% remoto,35,Semi-Senior,6
Full-Time,Contractor,3936900.0,15,6,3,0,De 2001a 5000 personas,100% remoto,36,Manager or Above,2
Full-Time,Staff (planta permanente),1500000.0,4,4,4,0,De 5001 a 10000 personas,100% remoto,35,Semi-Senior,5
Full-Time,Staff (planta permanente),1800000.0,4,0,4,0,De 51 a 100 personas,100% remoto,39,Semi-Senior,5
Full-Time,Staff (planta permanente),1000000.0,4,2,2,0,De 1001 a 2000 personas,Híbrido (presencial y remoto),28,Semi-Senior,3
Full-Time,Contractor,2500000.0,7,0,0,0,De 101 a 200 personas,100% remoto,31,Senior,3
Full-Time,Staff (planta permanente),3600000.0,8,8,2,4,De 51 a 100 personas,100% remoto,29,Manager or Above,2
Full-Time,Staff (planta permanente),6000000.0,15,5,5,0,De 1001 a 2000 personas,100% remoto,39,Manager or Above,4
Full-Time,Contractor,3360000.0,8,0,0,0,De 201 a 500 personas,100% remoto,33,Senior,3
Full-Time,Participación societaria en una cooperativa,2700000.0,8,4,4,2,De 11  a 50  personas,100% remoto,34,Senior,3
Full-Time,Staff (planta permanente),2200000.0,13,2,2,0,De 1001 a 2000 personas,100% remoto,43,Senior,3
Full-Time,Staff (planta permanente),1200000.0,1,1,1,0,De 11  a 50  personas,Híbrido (presencial y remoto),21,Junior,1
Full-Time,Staff (planta permanente),3820000.0,6,12,7,0,De 501 a 1000 personas,Híbrido (presencial y remoto),40,Senior,3
Full-Time,Contractor,5500000.0,21,6,3,2,De 201 a 500 personas,100% remoto,39,Manager or Above,2
Full-Time,Freelance,2000000.0,15,2,1,1,De 2 a 10 personas,100% remoto,35,Manager or Above,2
Full-Time,Staff (planta permanente),4000000.0,6,7,6,0,De 2001a 5000 personas,100% remoto,36,Senior,5
Full-Time,Contractor,5800000.0,15,2,1,8,De 11  a 50  personas,Híbrido (presencial y remoto),37,Manager or Above,5
Full-Time,Staff (planta permanente),3200000.0,5,3,1,5,De 11  a 50  personas,Híbrido (presencial y remoto),36,Manager or Above,2
Full-Time,Staff (planta permanente),2400000.0,1,2,0,0,De 11  a 50  personas,Híbrido (presencial y remoto),40,Junior,7
Full-Time,Staff (planta permanente),5500000.0,7,5,5,0,Más de 10000 personas,100% remoto,41,Senior,3
Full-Time,Staff (planta permanente),2800000.0,6,3,3,0,De 101 a 200 personas,100% remoto,30,Senior,3
Full-Time,Contractor,4000000.0,8,1,1,2,De 501 a 1000 personas,100% remoto,34,Senior,5
Full-Time,Staff (planta permanente),800000.0,2,0,0,0,De 2 a 10 personas,100% remoto,40,Junior,4
Full-Time,Staff (planta permanente),4733000.0,12,3,1,0,De 1001 a 2000 personas,Híbrido (presencial y remoto),37,Manager or Above,3
Full-Time,Contractor,5000000.0,8,2,2,6,De 51 a 100 personas,100% remoto,31,Senior,4
Full-Time,Contractor,4833600.0,7,2,2,0,De 11  a 50  personas,100% remoto,26,Senior,2
Full-Time,Contractor,1500000.0,1,4,1,0,De 101 a 200 personas,100% remoto,34,Junior,4
Full-Time,Staff (planta permanente),3500000.0,10,3,3,2,De 11  a 50  personas,100% remoto,40,Manager or Above,5
Full-Time,Contractor,4312000.0,10,2,2,0,De 51 a 100 personas,100% remoto,40,Senior,3
Full-Time,Staff (planta permanente),3995000.0,8,3,3,0,De 51 a 100 personas,100% remoto,30,Senior,3
Full-Time,Tercerizado (trabajo a través de consultora o agencia),1200000.0,3,2,2,0,De 5001 a 10000 personas,100% remoto,32,Semi-Senior,3
Full-Time,Contractor,2160000.0,4,1,1,0,De 2 a 10 personas,100% remoto,39,Semi-Senior,2
Full-Time,Contractor,3840000.0,8,1,1,0,De 1001 a 2000 personas,100% remoto,30,Senior,3
Full-Time,Contractor,2400000.0,2,1,2,0,De 51 a 100 personas,100% remoto,24,Junior,5
Full-Time,Staff (planta permanente),2380806.0,4,12,3,0,De 51 a 100 personas,Híbrido (presencial y remoto),40,Semi-Senior,6
Full-Time,Staff (planta permanente),2413267.68,4,0,0,0,Más de 10000 personas,100% remoto,36,Semi-Senior,3
Full-Time,Staff (planta permanente),4000000.0,8,2,2,1,De 5001 a 10000 personas,100% remoto,41,Senior,6
Full-Time,Tercerizado (trabajo a través de consultora o agencia),1919000.0,3,1,1,0,Más de 10000 personas,Híbrido (presencial y remoto),46,Semi-Senior,3
Full-Time,Tercerizado (trabajo a través de consultora o agencia),3000000.0,2,1,2,0,De 51 a 100 personas,100% remoto,31,Junior,4
Full-Time,Contractor,5270400.0,15,3,9,0,De 201 a 500 personas,100% remoto,40,Senior,3
Full-Time,Staff (planta permanente),3500000.0,3,0,3,0,De 101 a 200 personas,100% remoto,28,Semi-Senior,3
Full-Time,Staff (planta permanente),4301000.0,13,3,3,0,De 2001a 5000 personas,Híbrido (presencial y remoto),34,Senior,5
Full-Time,Staff (planta permanente),4081000.0,20,5,4,0,Más de 10000 personas,100% remoto,46,Senior,3
Full-Time,Contractor,3198250.0,4,2,2,0,De 101 a 200 personas,100% remoto,33,Semi-Senior,5
Full-Time,Contractor,4200000.0,5,3,3,0,De 201 a 500 personas,100% remoto,39,Semi-Senior,2
Full-Time,Staff (planta permanente),3000000.0,1,0,0,0,De 501 a 1000 personas,Híbrido (presencial y remoto),42,Junior,5
Full-Time,Staff (planta permanente),900000.0,15,4,4,0,De 51 a 100 personas,100% remoto,43,Senior,2
Full-Time,Staff (planta permanente),1200000.0,1,0,0,0,De 201 a 500 personas,100% remoto,26,Junior,4
Full-Time,Contractor,1300000.0,5,1,1,0,De 11  a 50  personas,100% remoto,48,Semi-Senior,5
Full-Time,Staff (planta permanente),3500000.0,7,1,1,0,De 2001a 5000 personas,100% remoto,37,Senior,5
Full-Time,Staff (planta permanente),1400000.0,10,2,2,0,De 1001 a 2000 personas,100% remoto,40,Senior,2
Full-Time,Staff (planta permanente),1650000.0,3,1,1,1,Más de 10000 personas,100% remoto,30,Semi-Senior,3
Full-Time,Contractor,5200000.0,15,2,2,6,De 51 a 100 personas,100% remoto,37,Manager or Above,4
Full-Time,Contractor,3000000.0,20,20,6,0,De 2 a 10 personas,100% remoto,36,Manager or Above,4
Full-Time,Staff (planta permanente),5100000.0,11,1,1,0,De 501 a 1000 personas,100% remoto,36,Senior,3
Full-Time,Contractor,1100703.32,2,2,2,0,De 51 a 100 personas,Híbrido (presencial y remoto),29,Junior,4
Full-Time,Contractor,2000000.0,5,2,0,0,Más de 10000 personas,100% remoto,28,Semi-Senior,3
Full-Time,Staff (planta permanente),2500000.0,4,4,4,0,De 101 a 200 personas,100% remoto,36,Semi-Senior,4
Full-Time,Staff (planta permanente),2200000.0,3,1,1,0,Más de 10000 personas,100% remoto,34,Semi-Senior,2
Full-Time,Staff (planta permanente),1900000.0,3,2,2,0,De 1001 a 2000 personas,100% remoto,34,Semi-Senior,2
Full-Time,Staff (planta permanente),2500000.0,11,11,11,5,De 11  a 50  personas,100% presencial,47,Manager or Above,5
Full-Time,Staff (planta permanente),2884562.0,9,5,2,4,De 1001 a 2000 personas,100% remoto,33,Senior,4
Full-Time,Staff (planta permanente),2421925.0,2,0,0,2,De 11  a 50  personas,Híbrido (presencial y remoto),38,Junior,3
Full-Time,Staff (planta permanente),1600000.0,16,16,8,1,De 51 a 100 personas,100% presencial,43,Senior,4
Full-Time,Staff (planta permanente),1700000.0,1,1,1,0,De 11  a 50  personas,100% remoto,24,Junior,2
Full-Time,Tercerizado (trabajo a través de consultora o agencia),1800000.0,30,5,3,0,De 201 a 500 personas,100% remoto,54,Senior,3
Full-Time,Contractor,1800000.0,5,0,3,0,De 2 a 10 personas,100% remoto,34,Semi-Senior,2
Full-Time,Staff (planta permanente),4310821.0,5,1,2,0,Más de 10000 personas,100% remoto,32,Manager or Above,2
Full-Time,Staff (planta permanente),2196346.0,2,2,2,1,Más de 10000 personas,100% remoto,29,Junior,2
Full-Time,Staff (planta permanente),1585000.0,4,1,1,0,De 51 a 100 personas,100% remoto,35,Semi-Senior,4
Full-Time,Staff (planta permanente),3000000.0,14,12,4,2,De 2 a 10 personas,100% presencial,33,Senior,3
Full-Time,Staff (planta permanente),3314677.0,40,3,3,1,Más de 10000 personas,100% remoto,59,Manager or Above,5
Full-Time,Staff (planta permanente),850000.0,4,1,1,0,De 11  a 50  personas,100% remoto,25,Semi-Senior,3
Full-Time,Staff (planta permanente),2334037.0,20,12,8,5,De 2 a 10 personas,100% presencial,40,Manager or Above,2
Full-Time,Tercerizado (trabajo a través de consultora o agencia),2473024.0,9,5,5,0,De 11  a 50  personas,100% remoto,35,Senior,4
Full-Time,Staff (planta permanente),1600000.0,1,0,1,0,De 501 a 1000 personas,100% presencial,27,Junior,5
Full-Time,Staff (planta permanente),1137000.0,4,4,2,0,De 201 a 500 personas,100% presencial,25,Semi-Senior,6
Full-Time,Staff (planta permanente),1668000.0,15,1,10,1,De 1001 a 2000 personas,Híbrido (presencial y remoto),34,Senior,3
Full-Time,Staff (planta permanente),3300000.0,12,4,3,0,De 201 a 500 personas,100% remoto,38,Senior,4
Full-Time,Freelance,2534000.0,7,5,5,0,De 501 a 1000 personas,100% remoto,41,Senior,5
Full-Time,Staff (planta permanente),1600000.0,5,3,3,0,De 201 a 500 personas,100% remoto,29,Semi-Senior,2
Full-Time,Staff (planta permanente),2700000.0,24,0,0,3,Más de 10000 personas,100% remoto,46,Manager or Above,7
Full-Time,Staff (planta permanente),4700000.0,20,13,13,0,De 201 a 500 personas,100% remoto,51,Senior,4
Full-Time,Staff (planta permanente),3300000.0,11,4,4,0,De 5001 a 10000 personas,Híbrido (presencial y remoto),41,Senior,6
Full-Time,Staff (planta permanente),1465000.0,2,2,2,0,Más de 10000 personas,Híbrido (presencial y remoto),25,Junior,5
Full-Time,Staff (planta permanente),2050000.0,2,2,2,0,De 11  a 50  personas,100% remoto,25,Junior,2
Full-Time,Staff (planta permanente),3600000.0,5,3,4,0,De 2001a 5000 personas,Híbrido (presencial y remoto),30,Semi-Senior,5
Full-Time,Staff (planta permanente),1511711.0,3,2,2,0,De 1001 a 2000 personas,100% remoto,25,Semi-Senior,2
Full-Time,Staff (planta permanente),1288640.52,0,0,0,1,De 101 a 200 personas,100% remoto,49,Junior,3
Full-Time,Staff (planta permanente),2650000.0,6,3,5,0,De 51 a 100 personas,Híbrido (presencial y remoto),34,Senior,4
Full-Time,Staff (planta permanente),1932000.0,2,0,0,0,De 51 a 100 personas,100% presencial,23,Junior,4
Full-Time,Staff (planta permanente),3000000.0,3,0,3,0,De 5001 a 10000 personas,Híbrido (presencial y remoto),30,Semi-Senior,6
Full-Time,Staff (planta permanente),1650331.0,3,3,3,0,De 101 a 200 personas,100% remoto,32,Semi-Senior,2
Full-Time,Contractor,1200000.0,1,0,0,0,De 11  a 50  personas,100% remoto,25,Junior,2
Full-Time,Staff (planta permanente),2000000.0,11,11,11,5,De 2 a 10 personas,Híbrido (presencial y remoto),46,Manager or Above,4
Full-Time,Staff (planta permanente),1200000.0,2,0,2,0,De 11  a 50  personas,Híbrido (presencial y remoto),27,Junior,4
Full-Time,Staff (planta permanente),900000.0,1,1,0,0,De 51 a 100 personas,100% remoto,20,Junior,4
Full-Time,Staff (planta permanente),2400000.0,1,0,0,0,Más de 10000 personas,Híbrido (presencial y remoto),24,Junior,3
Full-Time,Staff (planta permanente),1300000.0,4,3,3,0,De 501 a 1000 personas,Híbrido (presencial y remoto),27,Semi-Senior,4
Full-Time,Staff (planta permanente),2600000.0,5,13,5,5,De 1001 a 2000 personas,100% remoto,40,Semi-Senior,2
Full-Time,Staff (planta permanente),1000000.0,4,3,3,1,De 11  a 50  personas,100% remoto,38,Semi-Senior,2
Full-Time,Tercerizado (trabajo a través de consultora o agencia),1900000.0,10,8,3,0,De 501 a 1000 personas,Híbrido (presencial y remoto),45,Senior,3
Full-Time,Staff (planta permanente),2600000.0,2,0,2,0,De 51 a 100 personas,100% remoto,28,Junior,2
Full-Time,Tercerizado (trabajo a través de consultora o agencia),1598063.0,4,2,3,0,De 2001a 5000 personas,100% remoto,29,Semi-Senior,2
Full-Time,Tercerizado (trabajo a través de consultora o agencia),3000000.0,18,0,15,4,De 201 a 500 personas,Híbrido (presencial y remoto),43,Senior,3
Full-Time,Staff (planta permanente),2449000.0,5,3,5,2,De 201 a 500 personas,100% remoto,45,Semi-Senior,2
Full-Time,Tercerizado (trabajo a través de consultora o agencia),2400000.0,2,2,0,0,De 101 a 200 personas,100% remoto,24,Junior,3
Full-Time,Staff (planta permanente),1500000.0,3,1,1,0,De 201 a 500 personas,Híbrido (presencial y remoto),28,Semi-Senior,5
Full-Time,Contractor,2000000.0,20,3,3,0,De 501 a 1000 personas,Híbrido (presencial y remoto),44,Senior,6
Full-Time,Staff (planta permanente),1100000.0,4,1,1,0,De 201 a 500 personas,100% remoto,26,Semi-Senior,3
Full-Time,Staff (planta permanente),1231464.0,3,1,1,0,De 201 a 500 personas,100% remoto,30,Semi-Senior,2
Full-Time,Tercerizado (trabajo a través de consultora o agencia),1750000.0,1,1,1,0,Más de 10000 personas,100% remoto,25,Junior,3
Full-Time,Staff (planta permanente),1500000.0,3,2,3,1,De 11  a 50  personas,Híbrido (presencial y remoto),23,Semi-Senior,3
Full-Time,Tercerizado (trabajo a través de consultora o agencia),1134141.0,2,1,1,0,De 501 a 1000 personas,100% remoto,25,Junior,3
Full-Time,Staff (planta permanente),2003000.0,4,3,3,0,De 11  a 50  personas,Híbrido (presencial y remoto),29,Semi-Senior,4
Full-Time,Staff (planta permanente),2000000.0,5,0,3,0,De 101 a 200 personas,100% remoto,28,Semi-Senior,2
Full-Time,Staff (planta permanente),3250000.0,4,3,3,0,De 501 a 1000 personas,100% remoto,30,Semi-Senior,2
Full-Time,Staff (planta permanente),3866679.0,8,4,1,0,Más de 10000 personas,100% remoto,35,Senior,2
Full-Time,Staff (planta permanente),937336.0,2,2,1,0,De 201 a 500 personas,Híbrido (presencial y remoto),27,Junior,2
Full-Time,Staff (planta permanente),4800000.0,6,2,2,0,De 501 a 1000 personas,100% remoto,27,Senior,4
Full-Time,Staff (planta permanente),1520000.0,2,2,2,0,De 51 a 100 personas,Híbrido (presencial y remoto),29,Junior,5
Full-Time,Staff (planta permanente),1610000.0,14,6,6,1,De 11  a 50  personas,100% presencial,38,Senior,4
Full-Time,Staff (planta permanente),1750000.0,3,3,3,4,De 51 a 100 personas,100% remoto,29,Semi-Senior,5
Full-Time,Staff (planta permanente),1100000.0,6,6,6,0,De 2 a 10 personas,100% presencial,37,Senior,3
Full-Time,Staff (planta permanente),1100000.0,1,3,1,2,De 1001 a 2000 personas,100% presencial,30,Manager or Above,4
Full-Time,Tercerizado (trabajo a través de consultora o agencia),1600000.0,12,3,3,0,De 2001a 5000 personas,100% remoto,36,Senior,5
Full-Time,Staff (planta permanente),2780064.0,3,3,3,0,Más de 10000 personas,Híbrido (presencial y remoto),40,Semi-Senior,5
Full-Time,Staff (planta permanente),1600000.0,4,2,1,1,De 51 a 100 personas,Híbrido (presencial y remoto),27,Semi-Senior,2
Full-Time,Staff (planta permanente),1350000.0,2,2,1,1,De 51 a 100 personas,Híbrido (presencial y remoto),30,Junior,4
Full-Time,Staff (planta permanente),2400000.0,3,2,2,1,De 11  a 50  personas,Híbrido (presencial y remoto),21,Semi-Senior,2
Full-Time,Staff (planta permanente),2999059.0,9,3,1,0,Más de 10000 personas,Híbrido (presencial y remoto),37,Senior,4
Full-Time,Staff (planta permanente),2700000.0,3,1,1,0,De 501 a 1000 personas,Híbrido (presencial y remoto),37,Semi-Senior,3
Full-Time,Staff (planta permanente),1985000.0,10,1,4,2,De 201 a 500 personas,100% remoto,27,Senior,5
Full-Time,Staff (planta permanente),1590000.0,2,1,1,0,De 51 a 100 personas,Híbrido (presencial y remoto),24,Manager or Above,4
Full-Time,Staff (planta permanente),940000.0,4,0,4,0,De 501 a 1000 personas,100% presencial,23,Semi-Senior,5
Full-Time,Staff (planta permanente),1700000.0,3,3,2,1,De 11  a 50  personas,Híbrido (presencial y remoto),25,Semi-Senior,2
Full-Time,Staff (planta permanente),950000.0,4,0,1,0,De 11  a 50  personas,Híbrido (presencial y remoto),30,Semi-Senior,3
Full-Time,Contractor,1220000.0,1,0,0,0,De 51 a 100 personas,Híbrido (presencial y remoto),29,Junior,4
Full-Time,Staff (planta permanente),4900000.0,12,1,1,9,De 501 a 1000 personas,100% presencial,35,Senior,2
Full-Time,Staff (planta permanente),2178129.0,4,0,4,0,De 5001 a 10000 personas,Híbrido (presencial y remoto),34,Semi-Senior,2
Full-Time,Staff (planta permanente),1550000.0,3,3,3,0,De 201 a 500 personas,100% remoto,24,Semi-Senior,3
Full-Time,Tercerizado (trabajo a través de consultora o agencia),2200000.0,2,0,2,0,De 5001 a 10000 personas,Híbrido (presencial y remoto),26,Junior,3
Full-Time,Staff (planta permanente),3300000.0,2,1,1,0,De 2001a 5000 personas,100% remoto,32,Junior,2
Full-Time,Staff (planta permanente),2700000.0,8,2,2,0,De 1001 a 2000 personas,Híbrido (presencial y remoto),37,Senior,2
Full-Time,Staff (planta permanente),4100000.0,2,15,0,3,De 501 a 1000 personas,100% presencial,43,Junior,5
Full-Time,Tercerizado (trabajo a través de consultora o agencia),1100000.0,3,2,2,0,De 5001 a 10000 personas,Híbrido (presencial y remoto),23,Semi-Senior,2
Full-Time,Staff (planta permanente),2500000.0,30,17,17,8,De 11  a 50  personas,Híbrido (presencial y remoto),54,Senior,4
Full-Time,Staff (planta permanente),2000000.0,10,0,0,2,De 101 a 200 personas,100% remoto,42,Senior,4
Full-Time,Staff (planta permanente),6000000.0,10,3,3,6,De 2001a 5000 personas,100% remoto,39,Manager or Above,2
Full-Time,Staff (planta permanente),3200000.0,3,0,0,0,Más de 10000 personas,Híbrido (presencial y remoto),28,Semi-Senior,5
Full-Time,Staff (planta permanente),2800000.0,20,10,10,3,De 11  a 50  personas,100% remoto,45,Manager or Above,3
Full-Time,Staff (planta permanente),3000000.0,5,3,3,3,De 1001 a 2000 personas,Híbrido (presencial y remoto),29,Semi-Senior,2
