dedicacion,contrato,salario,anos_de_experiencia,antiguedad_en_la_empresa_actual,anos_en_el_puesto_actual,cuantas_personas_tenes_a_cargo,cantidad_de_personas_en_tu_organizacion,modalidad_de_trabajo,edad,seniority,marvin_rol
Full-Time,Staff (planta permanente),1475200.0,4,4,1,12,De 11  a 50  personas,100% remoto,27,Semi-Senior,4
Full-Time,Staff (planta permanente),3735000.0,3,0,0,0,De 201 a 500 personas,Híbrido (presencial y remoto),27,Semi-Senior,5
Full-Time,Staff (planta permanente),3680000.0,5,3,2,0,De 1001 a 2000 personas,100% remoto,26,Semi-Senior,3
Full-Time,Contractor,2200000.0,3,2,2,0,De 11  a 50  personas,100% remoto,33,Semi-Senior,2
Full-Time,Staff (planta permanente),1400000.0,8,5,2,3,De 51 a 100 personas,100% remoto,30,Manager or Above,4
Full-Time,Tercerizado (trabajo a través de consultora o agencia),1406346.0,2,2,2,0,De 201 a 500 personas,100% remoto,28,Junior,2
Full-Time,Contractor,6250000.0,6,0,6,0,De 201 a 500 personas,100% remoto,34,Senior,4
Full-Time,Contractor,3500000.0,5,2,2,0,De 51 a 100 personas,100% remoto,28,Semi-Senior,4
Full-Time,Staff (planta permanente),3365000.0,6,2,1,0,Más de 10000 personas,Híbrido (presencial y remoto),24,Senior,3
Full-Time,Staff (planta permanente),1353000.0,3,1,1,0,De 51 a 100 personas,100% remoto,27,Semi-Senior,3
Full-Time,Staff (planta permanente),1600000.0,2,1,0,0,De 1001 a 2000 personas,100% remoto,24,Junior,5
Full-Time,Staff (planta permanente),2500000.0,4,1,3,0,De 2001a 5000 personas,100% remoto,38,Semi-Senior,4
Full-Time,Staff (planta permanente),2200000.0,2,0,0,2,Más de 10000 personas,100% remoto,32,Junior,5
Full-Time,Staff (planta permanente),5900000.0,4,0,3,3,De 201 a 500 personas,100% presencial,23,Semi-Senior,3
Full-Time,Contractor,2625000.0,4,0,0,0,De 101 a 200 personas,100% remoto,27,Semi-Senior,4
Full-Time,Participación societaria en una cooperativa,2000000.0,10,3,3,0,De 2 a 10 personas,Híbrido (presencial y remoto),43,Senior,4
Full-Time,Staff (planta permanente),5300000.0,3,2,2,0,De 101 a 200 personas,100% remoto,27,Semi-Senior,3
Full-Time,Staff (planta permanente),2500000.0,8,1,1,0,De 501 a 1000 personas,Híbrido (presencial y remoto),34,Senior,5
Full-Time,Tercerizado (trabajo a través de consultora o agencia),1100000.0,2,3,2,0,De 5001 a 10000 personas,100% remoto,25,Junior,4
Full-Time,Staff (planta permanente),3800000.0,14,2,2,3,De 51 a 100 personas,100% remoto,40,Manager or Above,2
Full-Time,Staff (planta permanente),2810000.0,30,2,2,0,De 101 a 200 personas,Híbrido (presencial y remoto),51,Manager or Above,6
Full-Time,Staff (planta permanente),1500000.0,6,1,1,10,De 101 a 200 personas,Híbrido (presencial y remoto),29,Senior,2
Full-Time,Contractor,4300000.0,14,1,10,0,De 101 a 200 personas,100% remoto,33,Senior,2
Full-Time,Contractor,1600000.0,3,1,3,0,De 11  a 50  personas,100% remoto,30,Semi-Senior,5
Full-Time,Contractor,3675000.0,7,0,6,0,De 51 a 100 personas,100% remoto,33,Senior,5
Full-Time,Staff (planta permanente),4500000.0,10,3,4,0,De 101 a 200 personas,Híbrido (presencial y remoto),35,Senior,3
Full-Time,Contractor,2600000.0,6,2,2,0,De 2 a 10 personas,100% remoto,30,Senior,2
Full-Time,Staff (planta permanente),1600000.0,5,0,0,0,De 101 a 200 personas,100% remoto,28,Semi-Senior,3
Full-Time,Contractor,3800000.0,7,3,3,0,De 101 a 200 personas,100% remoto,33,Senior,4
Full-Time,Staff (planta permanente),3000000.0,16,1,3,10,De 501 a 1000 personas,100% remoto,46,Senior,3
Full-Time,Contractor,2800000.0,5,0,0,0,De 501 a 1000 personas,100% remoto,35,Semi-Senior,2
Full-Time,Staff (planta permanente),2200000.0,3,3,1,0,De 1001 a 2000 personas,100% remoto,26,Semi-Senior,3
Full-Time,Contractor,1050000.0,3,3,3,0,De 2 a 10 personas,100% remoto,22,Semi-Senior,2
Full-Time,Staff (planta permanente),2730000.0,4,3,3,2,De 11  a 50  personas,Híbrido (presencial y remoto),25,Semi-Senior,2
Full-Time,Contractor,5000000.0,20,3,3,0,De 51 a 100 personas,100% remoto,46,Senior,3
Full-Time,Tercerizado (trabajo a través de consultora o agencia),5000000.0,3,0,0,0,De 1001 a 2000 personas,100% remoto,25,Semi-Senior,3
Full-Time,Staff (planta permanente),2800000.0,3,2,3,0,De 51 a 100 personas,100% remoto,28,Semi-Senior,2
Full-Time,Staff (planta permanente),6200000.0,20,1,1,5,De 501 a 1000 personas,100% remoto,43,Manager or Above,3
Full-Time,Staff (planta permanente),3984868.0,9,2,2,0,De 2001a 5000 personas,Híbrido (presencial y remoto),41,Senior,5
Full-Time,Staff (planta permanente),4641300.0,4,0,0,0,De 5001 a 10000 personas,100% remoto,28,Semi-Senior,5
Full-Time,Freelance,2300000.0,15,15,15,0,1 (solamente yo),100% remoto,42,Senior,4
Full-Time,Contractor,1000000.0,3,3,3,0,De 2 a 10 personas,100% remoto,24,Semi-Senior,3
Full-Time,Staff (planta permanente),3250000.0,4,0,4,0,Más de 10000 personas,100% remoto,25,Semi-Senior,3
Full-Time,Staff (planta permanente),2500000.0,5,0,0,0,De 5001 a 10000 personas,Híbrido (presencial y remoto),31,Semi-Senior,2
Part-Time,Freelance,1200000.0,9,7,7,0,De 11  a 50  personas,100% remoto,32,Senior,2
Full-Time,Staff (planta permanente),3000000.0,8,3,1,0,Más de 10000 personas,100% remoto,36,Senior,2
